Epoch Time (s),VP State,Steering Control Mode,Thrust Control Mode,Control Plan State,Alarm ID,Alarm Message,Alarm State,Event ID,Event Message
1473948037.557789,,,,,GEOFENCE_EVENT,The vehicle has re-entered the geo-fenced area,0,,
1473948146.408558,,,,,STALE_POSITION_DATA,Position data is up-to-date (data age: 0.31s) ,0,,
1473948146.408632,,,,,STALE_HEADING_DATA,Heading data is up-to-date (data age: 0.02s) ,0,,
1473956045.409047,5,3,3,1,,,,,
1473948046.528554,,,,,VP_STATE_RESET,VP Reset - VP has been started.,0,,
1473947945.251833,,,,,COLLISION_THREAT,Collision threat cleared ,0,,
1473956046.408747,5,3,3,1,,,,,
1473956047.408533,5,3,3,1,,,,,
1473956048.408549,5,3,3,1,,,,,
1473956049.408652,5,3,3,1,,,,,
1473956050.377520,5,3,3,1,,,,,
1473955212.109979,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956050.408717,5,3,3,1,,,,,
1473956051.408548,5,3,3,1,,,,,
1473956052.408586,5,3,3,1,,,,,
1473956053.408541,5,3,3,1,,,,,
1473956054.408730,5,3,3,1,,,,,
1473956055.408923,5,3,3,1,,,,,
1473956056.408547,5,3,3,1,,,,,
1473956057.408658,5,3,3,1,,,,,
1473956058.409428,5,3,3,1,,,,,
1473956059.408537,5,3,3,1,,,,,
1473956060.408533,5,3,3,1,,,,,
1473956061.408551,5,3,3,1,,,,,
1473956062.408543,5,3,3,1,,,,,
1473956063.408532,5,3,3,1,,,,,
1473956064.408526,5,3,3,1,,,,,
1473956065.408615,5,3,3,1,,,,,
1473956066.408654,5,3,3,1,,,,,
1473956067.408538,5,3,3,1,,,,,
1473956068.408532,5,3,3,1,,,,,
1473956069.408534,5,3,3,1,,,,,
1473956070.408533,5,3,3,1,,,,,
1473956071.408535,5,3,3,1,,,,,
1473956072.408528,5,3,3,1,,,,,
1473956073.408533,5,3,3,1,,,,,
1473956074.409584,5,3,3,1,,,,,
1473956075.082074,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956075.159827,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956075.408567,5,3,3,1,,,,,
1473956076.408942,5,3,3,1,,,,,
1473956077.408532,5,3,3,1,,,,,
1473956078.408540,5,3,3,1,,,,,
1473956079.412841,5,3,3,1,,,,,
1473956080.408710,5,3,3,1,,,,,
1473956081.408981,5,3,3,1,,,,,
1473956082.408551,5,3,3,1,,,,,
1473956083.408593,5,3,3,1,,,,,
1473956084.408535,5,3,3,1,,,,,
1473956085.408697,5,3,3,1,,,,,
1473956086.408534,5,3,3,1,,,,,
1473956087.408761,5,3,3,1,,,,,
1473956088.408529,5,3,3,1,,,,,
1473956089.408551,5,3,3,1,,,,,
1473956090.411413,5,3,3,1,,,,,
1473956091.408531,5,3,3,1,,,,,
1473956092.408667,5,3,3,1,,,,,
1473956093.408539,5,3,3,1,,,,,
1473956094.408583,5,3,3,1,,,,,
1473956095.408532,5,3,3,1,,,,,
1473956096.408537,5,3,3,1,,,,,
1473956097.408538,5,3,3,1,,,,,
1473956098.408528,5,3,3,1,,,,,
1473956099.408723,5,3,3,1,,,,,
1473956100.408556,5,3,3,1,,,,,
1473956101.408537,5,3,3,1,,,,,
1473956102.408706,5,3,3,1,,,,,
1473956103.408540,5,3,3,1,,,,,
1473956104.031760,,0,0,,,,,,
1473956104.034975,,,,,,,,CP_STATE_CHANGE,Control plan - State changed to Started
1473956104.035167,,,,0,,,,,
1473956104.041010,5,0,0,0,,,,,
1473956104.408534,5,0,0,0,,,,,
1473956105.408557,5,0,0,0,,,,,
1473956106.410403,5,0,0,0,,,,,
1473956107.408530,5,0,0,0,,,,,
